
Country Name En,Unit Name,2022,2022 Flag,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag
Kenya,Tonnes - live weight,28898,E,28430,E,24763,E,20270,E,16927,E
Kiribati,Tonnes - live weight,2,E,2,E,2,E,2,E,2,E
Kuwait,Tonnes - live weight,464,E,462,E,462,E,467.84,A,207.65,A
Kyrgyzstan,Tonnes - live weight,20698.3,A,10300,E,5100,E,4300,E,2558.7,A
Lao People's Democratic Republic,Tonnes - live weight,145000,E,135008,E,130020,E,123000,E,118700,E
Latvia,Tonnes - live weight,869.91,A,901.40,A,717.45,A,608.64,A,829.66,A
Lebanon,Tonnes - live weight,938,E,936,E,933,E,940,E,940,E
Lesotho,Tonnes - live weight,1836.26,A,1501.3,A,2601,E,2550,E,2500.46,A
Liberia,Tonnes - live weight,1375,A,1150,E,1030,E,855,E,685,E
Libya,Tonnes - live weight,10,E,10,E,10,E,10,E,10,E
Lithuania,Tonnes - live weight,4859.01,A,5135.34,A,4477.45,A,4214.648,A,3744.43,A
Madagascar,Tonnes - live weight,25127.60,A,16400.86,A,13555.45,A,14105.41,A,12773.057,A
Malawi,Tonnes - live weight,7148,A,9948,A,9393.0,A,8262.0,A,9014,A
Malaysia,Tonnes - live weight,574182.27,A,417478.41,A,400516.990,A,412281.035,A,391977.48,A
Mali,Tonnes - live weight,8830,A,8484,A,7686,A,6985,A,5327,A
Malta,Tonnes - live weight,18050.539,A,16410.248,A,19829.521,A,13823.701,A,19291.375,A
Marshall Islands,Tonnes - live weight,6.34,E,2.12,E,9.66,A,0.072,E,2.27,A
Martinique,Tonnes - live weight,37,E,37.5,A,42,E,43.0,A,49,E
Mauritius,Tonnes - live weight,1545.3,A,2315.526,A,3298.0,A,3251.2,A,2069.6,A
Mayotte,Tonnes - live weight,0,E,0,E,0,E,15,E,20,E
Mexico,Tonnes - live weight,289618.536,A,239802.704,A,348601.756,A,303646.704,A,247222.423,A
Micronesia (Federated States of),Tonnes - live weight,0.5,E,0.5,E,0.5,E,0.5,E,0.5,E
Montenegro,Tonnes - live weight,1087,A,858,A,885,A,1074,A,1097,A
Morocco,Tonnes - live weight,2310,A,2006.299,A,1618,A,1598.109,A,1266.906,A
Mozambique,Tonnes - live weight,5539,A,4143,A,3327,A,2468,A,2659,A
Myanmar,Tonnes - live weight,1197078.002,A,1167356.69,A,1144813.00,A,1082198.650,A,1131570.444,A
Namibia,Tonnes - live weight,340,E,321,E,320.715,A,388.961,A,342.48,A
Nauru,Tonnes - live weight,0.5,E,0.5,E,0.5,E,0.3,A,0.5,E
Nepal,Tonnes - live weight,87385,E,84291,A,76822,A,71252,A,65864,A
Netherlands Antilles,Tonnes - live weight,,,,,,,,,,
Netherlands (Kingdom of the),Tonnes - live weight,39430,E,40690,E,40290,E,46430,E,53485,E
New Caledonia,Tonnes - live weight,1456,E,1436.522,A,1477.889,A,1491.881,A,1617.3,A
New Zealand,Tonnes - live weight,106152,A,116839,A,118582,A,114582,A,104549,A
Nicaragua,Tonnes - live weight,31568.5,A,31005.9,A,29489,A,29523.3,E,29473.4,A
Niger,Tonnes - live weight,500,E,472,A,649,A,351.642,A,350,E
Nigeria,Tonnes - live weight,259106,A,275645,A,261710.718,A,289543,A,291323,A
